,Title,Ratings,Price,Url
27,Lookar Smart watch call HD display with Bluetooth calling brightness (black Strap) Smartwatch,No ratings,949,https://www.flipkart.com/lookar-smart-watch-call-hd-display-bluetooth-calling-brightness-black-strap-smartwatch/p/itm953e3628a8cdb?pid=SMWGK7T9H6YATWUY&lid=LSTSMWGK7T9H6YATWUYDSCDXU&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_28&otracker=search&otracker1=search&fm=Search&iid=en_Ap8Glkt0VeZSOvd5KflGUlIvxCYyqz8QI5c4QfTDGDoyC5rSIJZ38oLDqJ7Z%2F4Xsr8yVMM9sgkcLNzeGoef5lw%3D%3D&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
28,Noise ColorFit Vision 2 Buzz Smartwatch,4.3,"3,499",https://www.flipkart.com/noise-colorfit-vision-2-buzz-smartwatch/p/itma8f93941cbbad?pid=SMWGFGNVNHDHWBWR&lid=LSTSMWGFGNVNHDHWBWRWTZNTT&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_29&otracker=search&otracker1=search&fm=Search&iid=78a321d0-8045-4422-ba52-75dd9a430234.SMWGFGNVNHDHWBWR.SEARCH&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
29,"Noise ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces Smartwatch",4.2,"1,799",https://www.flipkart.com/noise-colorfit-caliber-go-1-69-inch-hd-display-40-sports-modes-150-watch-faces-smartwatch/p/itmc45d0904b03c8?pid=SMWGEGETT6QNAFFC&lid=LSTSMWGEGETT6QNAFFCRD8AHU&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_30&otracker=search&otracker1=search&fm=Search&iid=78a321d0-8045-4422-ba52-75dd9a430234.SMWGEGETT6QNAFFC.SEARCH&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
30,"GOQii Smart Vital Lite 1.4"" Smart Touch HD With 3 Months Health Coaching Smartwatch",3.9,"1,899",https://www.flipkart.com/goqii-smart-vital-lite-1-4-touch-hd-3-months-health-coaching-smartwatch/p/itm04ce849ba8df5?pid=SMWGBFKAYHDJJDM7&lid=LSTSMWGBFKAYHDJJDM7SKG4F6&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_31&otracker=search&otracker1=search&fm=Search&iid=en_Ap8Glkt0VeZSOvd5KflGUlIvxCYyqz8QI5c4QfTDGDq71Mt%2FvzMDgZms4k3QvNLbFi%2FqV8%2Bgjfk2kmkROoEXMQ%3D%3D&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
31,"alt OG Max with 1.8InchHD Display, BT Calling and AI Voice assistant Smartwatch",4.2,"1,799",https://www.flipkart.com/alt-og-max-1-8inchhd-display-bt-calling-ai-voice-assistant-smartwatch/p/itma13aacf76bf94?pid=SMWGHQSFYFWCGQBB&lid=LSTSMWGHQSFYFWCGQBBF1QLG7&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_32&otracker=search&otracker1=search&fm=Search&iid=en_Ap8Glkt0VeZSOvd5KflGUlIvxCYyqz8QI5c4QfTDGDop6ORVNsPwIVdd2rZhFktMxicrTKaQzG76HbMrTuxkSQ%3D%3D&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
32,"Fire-Boltt Talk Bluetooth Calling 1.32"" HD Display Smartwatch",4.1,"1,999",https://www.flipkart.com/fire-boltt-talk-bluetooth-calling-1-32-hd-display-smartwatch/p/itm5df1ad0845145?pid=SMWGAC56ANJPKYGB&lid=LSTSMWGAC56ANJPKYGB5Q0D2G&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_33&otracker=search&otracker1=search&fm=Search&iid=78a321d0-8045-4422-ba52-75dd9a430234.SMWGAC56ANJPKYGB.SEARCH&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
33,Fire-Boltt Talk Bluetooth Calling Smartwatch,4.1,"1,999",https://www.flipkart.com/fire-boltt-talk-bluetooth-calling-smartwatch/p/itm5df1ad0845145?pid=SMWG2ZX6AC4ZSCPC&lid=LSTSMWG2ZX6AC4ZSCPCQESRSE&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_34&otracker=search&otracker1=search&fm=Search&iid=78a321d0-8045-4422-ba52-75dd9a430234.SMWG2ZX6AC4ZSCPC.SEARCH&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
34,"boAt Wave Connect with Bluetooth Calling, Voice Assistant and 1.69"" HD Display Smartwatch",4.2,"2,999",https://www.flipkart.com/boat-wave-connect-bluetooth-calling-voice-assistant-1-69-hd-display-smartwatch/p/itm8e103a4ca1bc0?pid=SMWGEPT2WUGNFCAT&lid=LSTSMWGEPT2WUGNFCATAZXKNG&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_35&otracker=search&otracker1=search&fm=Search&iid=78a321d0-8045-4422-ba52-75dd9a430234.SMWGEPT2WUGNFCAT.SEARCH&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
35,"Noise ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces Smartwatch",4.2,"1,799",https://www.flipkart.com/noise-colorfit-caliber-go-1-69-inch-hd-display-40-sports-modes-150-watch-faces-smartwatch/p/itmde95b8a03cd75?pid=SMWGEGEZFCDKRVAE&lid=LSTSMWGEGEZFCDKRVAEN7C0TQ&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_36&otracker=search&otracker1=search&fm=Search&iid=78a321d0-8045-4422-ba52-75dd9a430234.SMWGEGEZFCDKRVAE.SEARCH&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
36,GOQii Vital 3.0 Body Temperature Fitness tracker Smartwatch,3.6,"1,399",https://www.flipkart.com/goqii-vital-3-0-body-temperature-fitness-tracker-smartwatch/p/itm7428b5a9dbe5d?pid=SMWGBGF6TS2PYGUB&lid=LSTSMWGBGF6TS2PYGUB22LRZM&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_37&otracker=search&otracker1=search&fm=Search&iid=en_Ap8Glkt0VeZSOvd5KflGUlIvxCYyqz8QI5c4QfTDGDo1l2k5VGsK002S0kPiV%2FXoFhq6PJf7LH5N5gFPUG0hSA%3D%3D&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
37,rudson T55 Smartwatch,3.7,969,https://www.flipkart.com/rudson-t55-smartwatch/p/itmd197006cee8f5?pid=SMWGHS86MMNX4UBZ&lid=LSTSMWGHS86MMNX4UBZEVFBTZ&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_38&otracker=search&otracker1=search&fm=Search&iid=en_Ap8Glkt0VeZSOvd5KflGUlIvxCYyqz8QI5c4QfTDGDpoGRCHmzIhA1vBTPCoFdfSoST8qEY7VrpnIqMnTd%2FXLA%3D%3D&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
38,"boAt Wave Connect with Bluetooth Calling, Voice Assistant and 1.69"" HD Display Smartwatch",4.2,"2,999",https://www.flipkart.com/boat-wave-connect-bluetooth-calling-voice-assistant-1-69-hd-display-smartwatch/p/itm8e103a4ca1bc0?pid=SMWGEPT2HM5FYXJV&lid=LSTSMWGEPT2HM5FYXJVFHLNI6&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_39&otracker=search&otracker1=search&fm=Search&iid=78a321d0-8045-4422-ba52-75dd9a430234.SMWGEPT2HM5FYXJV.SEARCH&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
39,"boAt Wave Connect with Bluetooth Calling, Voice Assistant and 1.69"" HD Display Smartwatch",4.2,"2,999",https://www.flipkart.com/boat-wave-connect-bluetooth-calling-voice-assistant-1-69-hd-display-smartwatch/p/itm8e103a4ca1bc0?pid=SMWGEPT2RCPFSCK2&lid=LSTSMWGEPT2RCPFSCK2MQXF0Z&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_40&otracker=search&otracker1=search&fm=Search&iid=78a321d0-8045-4422-ba52-75dd9a430234.SMWGEPT2RCPFSCK2.SEARCH&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
40,Happysome T500 Smart Watch Smartwatch,No ratings,"1,199",https://www.flipkart.com/happysome-t500-smart-watch-smartwatch/p/itmba1fe9c6d056c?pid=SMWGHV9R2SVATGY7&lid=LSTSMWGHV9R2SVATGY74UEJ1N&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_41&otracker=search&otracker1=search&fm=Search&iid=en_Ap8Glkt0VeZSOvd5KflGUlIvxCYyqz8QI5c4QfTDGDrvsU3BxviO9go7q%2FjUYt8WNWbaOxDaqFF%2F6M%2FHwGPzsg%3D%3D&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
41,"VEHOP FIT PRO Smartwatch with 1.75” Touch HD-IPS Display , Heart Rate & SpO2 Monitor Smartwatch",No ratings,"2,374",https://www.flipkart.com/vehop-fit-pro-smartwatch-1-75-touch-hd-ips-display-heart-rate-spo2-monitor/p/itmcd33640abff8b?pid=SMWGGBZYCHC6YZF7&lid=LSTSMWGGBZYCHC6YZF7ZMRPIY&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_42&otracker=search&otracker1=search&fm=Search&iid=en_Ap8Glkt0VeZSOvd5KflGUlIvxCYyqz8QI5c4QfTDGDr0bO21zVKhsiHPyLevj9f9gIlvzYoUzv3sVsNuQSnAHA%3D%3D&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
42,"Noise ColorFit Pro4 BT Calling 1.72"" TruView Display, Fully-functional digital crown Smartwatch",4.3,"3,499",https://www.flipkart.com/noise-colorfit-pro4-bt-calling-1-72-truview-display-fully-functional-digital-crown-smartwatch/p/itm1bc14bb9b9481?pid=SMWGE6YXGVVZXDJK&lid=LSTSMWGE6YXGVVZXDJKAJNV8V&marketplace=FLIPKART&q=Smart+Watch&store=ajy%2Fbuh&srno=s_2_43&otracker=search&otracker1=search&fm=Search&iid=78a321d0-8045-4422-ba52-75dd9a430234.SMWGE6YXGVVZXDJK.SEARCH&ppt=sp&ppn=sp&ssid=43fsb7rlbk0000001670042579551&qH=182a0e44af51ce7d
